Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,5,,SF,12500,MIL,ATL,2,122,31,29,107,109,8%,14,16,17,30,33,35,56.1,56.3,43.5,69.2,33.0,57.4,4.6,19.4,49.6,4.0
Russell Westbrook,10,,PG,11600,OKC,@POR,1,111,33,20,102,107,-3%,22,23,20,35,37,35,56.9,53.9,43.9,64.0,35.5,54.1,4.7,37.1,52.3,4.5
LeBron James,,O,SF,11000,LAL,NYK,1,115,32,27,103,112,6%,17,18,20,37,36,35,51.2,50.8,38.2,63.5,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,7,,C,10600,MIN,ORL,1,109,27,23,100,107,-2%,22,20,17,37,38,35,65.7,47.1,31.5,62.6,36.5,53.0,5.0,31.8,56.0,5.3
Paul George,10,,SF,10200,OKC,@POR,1,111,30,24,102,107,11%,25,25,21,34,36,36,49.1,49.0,38.1,59.8,36.0,48.6,4.8,36.7,49.6,4.9
Nikola Vucevic,4,,C,9800,ORL,@MIN,1,105,27,26,103,108,-5%,14,16,16,25,31,31,49.5,44.9,32.4,57.4,33.5,44.9,4.6,27.3,39.9,4.1
Brad Beal,2,,SG,9700,WAS,@MIA,1,103,27,19,102,104,-1%,20,20,19,37,36,38,39.9,40.8,30.5,51.2,37.5,41.5,4.3,40,49.3,5.1
Jusuf Nurkic,3,,C,9100,POR,OKC,2,112,25,23,106,100,-6%,11,13,11,29,30,27,46.4,37.1,24.1,50.1,31.0,42.1,4.6,30.2,43.1,4.7
Kyrie Irving,,O,PG,9000,BOS,DAL,1,109,30,25,103,106,4%,15,18,18,32,34,33,46.2,43.2,30.6,55.8,0.0,0.0,0.0,0,0.0,0.0
Damian Lillard,3,,PG,8800,POR,OKC,2,112,31,24,106,100,-11%,22,22,20,40,39,36,40.3,43.0,32.2,53.9,35.5,42.3,4.8,35.6,37.0,4.2
Rudy Gobert,1,,C,8800,UTA,@CLE,2,109,17,24,99,113,-10%,10,11,9,29,32,32,43.7,40.9,31.3,50.6,33.0,38.4,4.4,30.8,40.4,4.6
Devin Booker,7,,SG,8800,PHO,LAC,1,115,32,20,104,109,-8%,19,20,21,34,35,37,46.6,42.1,32.3,51.9,36.5,44.5,5.1,37.1,28.6,3.3
Victor Oladipo,5,,SG,8800,IND,@CHI,3,104,28,19,101,107,0%,14,14,17,30,33,34,40.0,40.8,29.1,52.5,34.0,39.2,4.5,37,60.4,6.9
Mike Conley,3,,PG,8400,MEM,BKN,1,104,28,20,101,109,-6%,13,15,16,33,34,34,31.7,36.8,25.0,48.7,34.0,37.5,4.5,37.8,47.6,5.7
Marc Gasol,6,,C,8400,MEM,BKN,1,104,22,18,101,109,15%,10,12,13,33,34,35,40.5,39.3,28.0,50.6,34.5,41.8,5.0,34.1,35.3,4.2
John Collins,2,,PF,8300,ATL,@MIL,1,108,23,21,105,102,1%,15,14,14,32,32,31,36.6,35.3,26.2,44.3,30.5,36.2,4.4,25.6,28.4,3.4
Myles Turner,1,,C,8000,IND,@CHI,3,104,20,18,101,107,13%,10,12,11,24,29,28,41.5,33.2,21.8,44.6,30.0,35.8,4.5,26,10.9,1.4
Deandre Ayton,9,,C,8000,PHO,LAC,1,115,21,22,104,109,12%,15,14,13,34,35,32,42.0,37.5,27.4,47.6,33.5,41.9,5.2,27.4,13.5,1.7
Luka Doncic,2,,SG,7800,DAL,@BOS,1,104,28,18,102,103,-4%,18,17,15,30,32,33,40.0,36.3,28.7,43.8,32.0,34.1,4.4,28.9,32.8,4.2
D'Angelo Russell,2,,SG,7700,BKN,@MEM,1,100,31,17,97,104,-6%,23,18,17,34,30,29,35.4,33.6,21.0,46.2,30.0,31.8,4.1,35.5,41.8,5.4
Aaron Gordon,2,,PF,7600,ORL,@MIN,1,105,21,16,103,108,4%,16,12,13,35,36,34,33.9,33.0,22.6,43.4,36.0,34.8,4.6,31.2,26.6,3.5
Khris Middleton,4,,SG,7400,MIL,ATL,2,122,24,16,107,109,7%,15,15,15,31,32,32,33.2,33.0,25.6,40.4,31.5,34.9,4.7,22.1,34.2,4.6
Tobias Harris,7,,PF,7400,LAC,@PHO,2,119,23,19,102,111,-1%,11,14,16,34,32,35,32.2,35.8,27.4,44.2,33.5,34.8,4.7,36.2,27.9,3.8
Montrezl Harrell,4,,PF,7400,LAC,@PHO,2,119,22,25,102,111,-6%,14,12,10,24,25,26,32.8,32.3,20.7,43.9,26.5,34.7,4.7,22.8,30.3,4.1
Donovan Mitchell,3,,SG,7400,UTA,@CLE,2,109,30,14,99,113,3%,19,18,19,31,33,33,31.9,33.2,22.5,43.9,34.5,34.5,4.7,31.5,28.1,3.8
Lauri Markkanen,3,,PF,7300,CHI,IND,1,97,24,16,101,101,-1%,13,15,15,34,32,31,31.1,32.3,21.8,42.8,33.0,34.3,4.7,41.7,37.8,5.2
